飞机上遗失东西怎么找回？	三、旅客来电反映将物品遗失在飞机上,若是刚刚下机,可联系候机寻找。
求长沙朋友推荐本地人爱吃的美食	我的回答一定能帮到你，准备感谢我吧不是我长沙美食之旅的全部，如果感兴趣可以来我的蚂蜂窝看看黑色经典臭豆腐这是我们刚来到长沙的第一天吃的，给它一个字“棒”，真的好吃，纯黑色的外表，中间又一个孔，里面有剁椒，味道超级棒，香辣不辣嘴，咬一口，汤汁四溢，满嘴留香，特别推荐大家去哦！推荐星级：★★★★★地址：跛子街和黄兴南路的都可以（我在坡子街吃的）价格：5元4块黑色经典臭豆腐罗记臭豆腐这家店是我们第一天一起和黑色经典臭豆腐一起吃的，两家店都挺有名，黑色经典开遍全国，罗记上过湖南卫视，大家看到下面的图了吧，罗记臭豆腐放榨菜，我表示接受不了，臭豆腐原本的味道已经被压制了一半多了，哈哈，我还是推荐黑色经典，不过这个看个人口味哦！还有就是这家臭豆腐没有设置5元4块的小份价格，我觉得有点上了湖南卫视之后成为暴发户的感觉（自我感觉，不喜勿喷）推荐星级：★★★地址：跛子街价格：10元8块罗记臭豆腐茶颜悦色说起茶颜悦色，这是我去长沙之前，网上的朋友推荐给我的，说一定要去茶颜悦色喝茶，尤其是幽兰拿铁，这不我就来了，我推荐大家去太平老街的店，装修而最好最大，尤其是如果有空闲的时间去你可以买杯茶坐在二楼，很大一个地方，装修很有意境，大家可以去看看我下面的图，还是不错的。我在长沙一共喝了3杯，列：幽兰拿铁、声声乌龙、轻脂凝肌、抹茶葡提。差不多都是16元左右，有点小贵，但是好喝，强烈推荐：幽兰拿铁！推荐星级：★★★★★地址：太平老街价格：人均16元左右茶颜悦色茶颜悦色?陈记油货店这款是长沙小伙伴们推荐的一款美食，这个油饼中间很空，外面如大家所看到的芝麻很多，吃起来很香，发甜的哦，口感软软的，皮薄不油腻。不过价格贵了点！哈哈。推荐星级：★★★地址：天心区学宫门正街76号价格：油饼5元一个陈记油货店?金记糖油坨坨这是网上朋友给我推荐的，也在天心区，我吃过之后还是觉得不错的，外面是麦芽糖脆脆的甜甜的，里面是糯米应该，特别软，不过要小心烫哦。价格不贵，推荐大家去尝尝！推荐星级：★★★★地址：长沙市天心区学院街55号(长郡中学旁边)价格：这一串4元，自助消费，钱盒就在旁边老头子糖油粑粑上一个是糖油坨坨，这个就是长沙有名的糖油粑粑，口感差不多，各大APP都推荐李公庙糖油粑粑，不过我不推荐！对了，还有另外一种糖油粑粑是软的，在后面的玉楼东饭店我尝了一下，各有各的好哦！推荐星级：★★★★地址：长沙市天心区学院街55号(长郡中学旁边)价格：这一串4元，自助消费，钱盒就在旁边老头子糖油粑粑?矮子粉店都说长沙人爱吃粉，哦，不对，是嗦粉，矮子粉店算是当地人比较喜欢的一家粉店，还有其他的不过没有去太多家，就这个我真的很喜欢吃，我点了两份：肉丝汤面、肉饼蒸蛋粉，这边的面都是碱水面口感细腻绵软，这是南方面条的一个特色，北方的粗矿有劲道。这家的粉很爽滑，也可以说为爽口，对于味道相比于.杨裕兴面馆来说，我更加喜欢吃矮子粉店，推荐大家粉面一起点，都尝一尝！推荐星级：★★★★★地址：湘春路246号价格：肉饼蒸蛋粉12元、肉丝汤面9元！矮子粉店肉饼蒸蛋粉矮子粉店肉丝汤面矮子粉店热卤刘说来热卤四合一是长沙的特色美食，其实做法很简单哦，来这家热卤刘也是提前做过功课的，网评这家不错哦，不过吃完发现价格有点贵哦！我们点了一扎绿豆沙、米饭、热卤四合一，素捆鸡说实话真的不算多，但是加一起来一共60元呢。地址：三王街（高德地图帮你找）推荐星级：★★★★口味：辣，狠辣，越吃越辣，不过吃的很爽，里面有素捆鸡、牛肉、韭菜、豆丝等，咸香辣味十足，给力推荐!口感：每一种食材搭配在里面口感不说有多好，口感一般！价格：热卤四合一35元、素捆鸡5元、绿豆沙15元，纸巾+米饭+餐具一共5元，纸巾比较强制性，直接放桌子上，不用也算钱哦！热卤刘绿豆沙热卤刘米饭热卤刘文和友老龙虾馆最佳性价比我点了虾尾118元100个左右，没数过，感觉了一下！我们俩人就这么一直吃，吃了2小时，哈哈，哦，对了，大家一定要多点几杯原味豆奶，冰的最好了！位置就在湘江边上，杜甫江阁斜对面，提醒大家一下：下午四点去，这样也许还能剩下几个桌子，过了4.30桌子就没有了，那你最少等待时间就得1个多小时咯！地址：杜甫江阁斜对面（高德地图帮你找）推荐星级：★★★★口味：★★★★★口感：★★★★卖相：★★★★价格：★★★环境：★★★★文和友老长沙龙虾馆文和友老长沙龙虾馆文和友老长沙龙虾馆冰镇毛豆很不错，10元一份也不贵，主要是冰冰凉凉口味微辣，这个推荐给大家了，一定要点哦！文和友老长沙龙虾馆原味豆奶，我能说啥呢？最解辣的饮品，多要两杯哦！文和友老长沙龙虾馆文和友老长沙龙虾馆这是菜单，大家可以看看，记录时间：2017年4月20日，以后有可能更新菜单哦！攻略没有菜单都是帅流氓！文和友老长沙龙虾馆店内环境不错，熙熙攘攘的，热闹，很吵的，这个环境特别像一个厂房改建的！文和友老长沙龙虾馆这一片都是老长沙龙虾馆，但是大家要认准文和友哦！文和友老长沙龙虾馆老长沙虾尾，价格118元，数量很多，其他的吃半小时，这份2人吃了一小时，吃的很满足哦！口味香辣务必，红灿灿的很有食欲，就是需要剥皮，哈哈，我这个人特别不喜欢，估计是懒癌晚期。文和友老长沙龙虾馆老长沙嗦螺，这个螺还挺大，20元一份不算贵，吃着虾，嗦着螺，滋味真的棒棒哒，当然有的人不喜欢这个嗦螺，大家可以点点别的哦！文和友老长沙龙虾馆猪油拌饭，2元一份，猪油的香气加上米饭粒粒在口的超爽口感，恩，不错哦，可以试试！文和友老长沙龙虾馆烤香蕉，20一份，5元一根，完全不值，味道一般，大家可以想象一下就是放的时间长了的香蕉+热的！这个就不推荐哦！文和友老长沙龙虾馆?盟重烧烤店话说盟重烧烤是长沙烧烤界扛把子，我要来长沙，每个人都推荐说一定要去盟重，一定要早点去，要不就排不上队了，然后我就去了，早早的下午4点就去了，然后排了号，问了一下服务员说可以在第一波进去，恩然后无聊就在周边逛了一下，连今天计划中要吃的紫苏桃子姜和东瓜山肉肠也找到了。到了吃饭的时候果然不出我所料，大约有排了50桌左右，吓得我冷汗直冒啊！他家价格偏贵，味道和口感都不错！地址：裕南街82号（高德地图帮你找）推荐星级：★★★★口味：★★★★口感：★★★★卖相：★★★★价格：★★★环境：★★★★盟重烧烤我刚到家盟重拍的，，还没有几个人！盟重烧烤还没进去的时候拍的，已经有30桌左右了！盟重烧烤当他们的大旗竖起来之后就开始营业了，人那个多呀，我都服了，当时就在想：这家烧烤店真的这么好吃吗？盟重烧烤等待中盟重烧烤上菜了，我们点了牛油15元16串，五花肉15元12串，鱿鱼须15元12串，千叶页豆腐10元16串，总体味道都很不错，有点辣哦，牛油烧烤出来比较脆，牛油也是他们这边的特色主打，但是我更加偏向于五花肉，烤的恰大好处，我觉得想把烧烤做好，第一就是腌制，第二就是烤制，他家做的都很棒，推荐大家去吃吃！盟重烧烤盟重烧烤这是菜单，拍摄时间：2017年4/22，以后会更新菜单！攻略没菜单就是耍流氓！盟重烧烤他们的牌号！盟重烧烤泡菜萝卜10元，很可口的一道小凉菜，而且烧烤吃特别爽，解辣。味道也很好吃！盟重烧烤长沙解辣圣品：冰镇豆奶3元一杯！乔伯凉面这个是长沙本地人推荐给我的，位置很难找，我找了半小时才找到，他没有具体的店面，在小区里面，不过有一个小牌子作为引导，大家一定要眼尖一点哦！地址：白沙路167号（高德地图也不一定找得到）推荐星级：★★★口味：★★★★口感：★★★★卖相：★★★★价格：★★★★环境：★★乔伯凉面11元一份的凉面让我扎心啊，一般凉面都是6元左右，它的味道确实比普通的凉面要好吃很多，花生、剁椒等材料让他的味道更上一层楼，但是自我感觉太贵了，而且他是小区里面的，只有一张桌子可以做，基本上他们买都是带走的！东瓜山肉肠确实是真材实料做的肉肠，表皮的肠衣脆脆的，里面的肉软软的，吃起来发甜，有点腻，我最介绍不了的是肉肠里面的肉颗粒状太明显，喜欢吃各种香肠的我接受不了这种肉肠，价格不贵，可以去猎奇一下，不过好像当地人很爱吃的样子！地址：盟重烧烤附近（高德地图帮你找）推荐星级：★★★口味：★★★口感：★★★★卖相：★★★价格：★★★★环境：无冬瓜山香肠2.5元一根，大小就跟小香肠差不多，外面有辣椒，但是第一口是甜的，口感外酥里嫩，我很喜欢，但是...上述已有说明！肉肠+紫苏桃子姜+盟重烧烤是在一起的，大家可以一起解决！常青汤圆店地址：蔡锷北路253号（高德地图帮你找）推荐星级：★★★★口味：★★★★口感：★★★★卖相：★★★★价格：★★★环境：★★常青汤圆店葱油粑粑1.5元一张，很像我在武汉吃的面窝，但是这个是有葱、油的味道，比面窝更加有味道，脆软可口。常青汤圆店麻油猪血6元一碗，这个碗并不是很大，价格一般，味道麻多辣少，猪血嫩嫩的，好这口的可以点一份尝尝哦，对了，一份猪血加2个葱油粑粑，葱油粑粑蘸着麻油猪血又是另外一种口感，麻的味道会减少，很不错的（我看到一个当地老大爷这么吃的）常青汤圆店白立丸6元一碗，味道清淡，白立丸绵绵的，用你的舌头一压就会碎到嘴里化开，不过我不怎么推荐，因为这个味道层次太过于平淡了！常青汤圆店玫瑰汤圆好像是7元左右，我忘了，这是我强烈推荐的，里面有米酒，鸡蛋，玫瑰汤圆，米酒是酸甜的，配合鸡蛋和玫瑰味的汤圆，真的是满嘴留香啊！常青汤圆店荷兰粉6元一碗，这个的口感和味道都和白立丸相差不远，唯一的不用就是形状，一个是球状的一个是块状！同样不推荐哦，不过喜欢猎奇和那种口感的可以尝尝！东瓜山紫苏地址：盟重烧烤附近（高德地图帮你找）推荐星级：★★★口味：★★★★口感：★★★卖相：★★★价格：★★★环境：★★紫苏桃子姜10元一盒，紫苏桃子姜是我从未见过的一款美食，所以我表示要来尝一尝，其实就是桃子+紫苏+冰镇，桃子应该没有1个，紫苏的口感不好，其实最奇妙的是他的味道，很清香加上冰镇过的效果，简直是夏日圣品。不过这个东西属于尝尝鲜，以后估计不会常吃！
求长沙朋友推荐本地人爱吃的美食	这次去长沙是接着出差的机会去的，吃到爽，已经把大众点评的排行榜吃的差不多了，所以建议大家在选酒店的时候在五一广场附近入住，附近的美食景点多到爆，下面为大家一一介绍。1.蛙来哒地点在五一广场，7Mall商场内，这家餐馆曾经上过天天向上，饭点的确火爆需要等好久的位置，我们点了一个紫苏锅，一个香辣锅，大家一致认为紫苏锅好吃，还点了红糖糍粑，猪蹄，玉米，每一样都好吃，吃的很爽。2.岳湘小镇地点在乐和广场3层，也在五一广场附近，这家环境更加清净，适合两个人安静的聊天吃饭，环境也很优雅，点了一道香芋排骨很好吃，他家的菜可以放心的随便点，几乎每一道都好吃。我们一共14个人，点了15个菜，菜单上的大部分都吃到了，都非常好吃！3.大夫第是一家老宅，里面的许多摆件都是古董，环境很有味道，菜的口味真是没话说，非常好吃，其中的腊肠煲仔饭好吃到爆，他家的菜单也可以随便点，没有雷区，每一道都好吃4.炊烟时代在五一广场附近，是大众点评排行榜第一位的餐厅，主体口味偏辣，像一些经典湖南菜，小炒黄牛肉做的味道真的没话说，辣的爽翻5.火宫殿非常不推荐，吃了红糖粑粑、姐妹饭团一些比较经典的小吃，发现味道真是一般，就是游客吃的东西6.饮品茶颜悦色，长沙当地特色饮品，强烈推荐桂花弄，冷的热的都好喝，一口下去满嘴清香，特别红的新品，妈妈茶也喝到了，装修的逼格满满，口味却差了很多，一些糕点味道也没那么好，不太推荐，装逼拍照还行。
求长沙朋友推荐本地人爱吃的美食	长沙吃的推荐如下：1、正哥烤肉在解放西路那里，老板是一对老夫妻，每天差不多4点开始，做到6点，有时候6点不到就卖完没有了。他们家只卖牛肉串和鸡翅，一烤就是一大排，瞬间可以预定完，烤肉卖完就收摊了。而且天太热的时候老板也可能不做生意，超级随意的那种，因为别人完全不担心没人买！2、李公庙糖油粑粑在乐和城对面的一个小巷子里，我上次去买的时候反正等了蛮久，和朋友买了十块钱的，说要一次性吃好，结果还是没吃完因为有点腻。不过还是很值得去吃滴！便宜实惠！很多长沙人都知道！3、熊猫阿姨在八一桥那边，在长沙也是超级有名。卖鸡爪滴，鸡爪是招牌，老板也很会策，大概越策越开心看多了哈哈。4、螺蛳粉最有名的就是中南林科大那家，真的是不排队吃不到！不晓得你受不受得了那个味道，可以滴话就去吃一碗吧！反正就是像臭豆腐样闻着味道大吃起来香的那种！但是真的炒鸡炒鸡有名！5、老长沙油炸社就在太平街，卖油炸食品的，反正人也炒鸡多，因为我不吃油炸的所以没去过，但据同学朋友说很不错，也是名声在外的一家店！6、酱卤馆也在太平街，不过不在正街上，在古戏台旁边的小巷子里，酱菜很好吃，环境也很有韵味，再就是里面特色还有用长沙古井水酿的酒，味道也很不错，我去过一次后一直准备再去一次。7、幸福里这个没吃到，上次特地去吃结果没吃到，要下午四点后才开门营业，里面的人暴多，也在太平街的巷子里。是吃那种特色菜的，据朋友说味道很好！长沙名小吃再就是臭豆腐了，还有湘菜也需要尝一尝，我觉得新芙蓉的湘菜不错，好吃不贵份量也足而且很多家分店还可以团购劵，感觉我好像打广告的??好了吃的推荐就差不多这么多吧，对了小龙虾也很有名啊！再补推小龙虾。另外我觉得火宫殿没有传说中那么好吃，我一直认为真正好吃的都是那种小店子，自己不推荐。最后祝你在长沙玩的愉快哦
【美食比拼】武汉、成都和长沙都有小龙虾，那到底哪家强？你推荐吃哪家？	小龙虾是伴随我成长的夜宵，而且在02,03年的时候自己家里曾经还卖过小龙虾，当时靠着好味道的口碑称霸我们那个小小县城的夜宵市场。虽说后面因为因为作息和身体原因没有继续做下去，但小龙虾在我的记忆里就是夏天的夜晚最不可或缺的东西。曾以为小龙虾就是我们那些小地方的特色美食，可不知从什么时候开始，感觉就是前几年，神州大地都刮起了一阵小龙虾的旋风，全中国的天南海北都在真情实感的爱着小龙虾。而且记忆里的火爆龙虾和白水龙虾，也衍生出了蒜蓉，卤煮，十三香，冰镇，鱼香等各式各样的味道。来成都七年，看到小龙虾市场从零星到繁盛，中途大浪淘沙的淘汰了一批，现在幸存下来的店都是很不错的店。像霸王虾，小红袍，阳光院坝等都是有很多的拥护者。在四川的小龙虾，最经典的做法就是火爆，当然人多的时候也会点蒜蓉和清蒸等味道来调剂。虾分为青虾和红虾两种，不同的做法会选择不同的虾。青虾个头较小，但更容易入味。红虾个头大，甲壳硬，更推荐清蒸或水煮。卤煮虾香料味重，但并不算辣。油焖虾更重要的是红油和入味，更加的香辣。上周去了武汉，早闻武汉小龙虾的大名，所以到武汉的第一晚就去吃了心心念念的武汉小龙虾，而且专门找了售卖潜江虾的店，品质更佳。这家店算是在武汉很有名的虾店了，虾的品质都很好。特别是清蒸虾，因为是保持了最初的样子，所以每一个都是十分的饱满紧实。而蒜蓉和油焖的虾是开背和去虾线的，口感上来说稍微有点松散，没有清蒸虾那种完整的扎实口感。蒜蓉口味十分经典。蒜蓉味道很足够。清蒸虾是绝对的top！只是这家店配的蘸料我不是很喜欢，因为加了红油显多余。但品质是绝对的没话说。油焖大虾的味道和成都吃的完全不一样，这样辣度没有那么高，但是浓油赤酱的感觉更丰富。最后来一个大合影。【我的私房homemade小龙虾】当然，既然传承在“龙虾世家”，所以平时我更喜欢自己去市场买虾然后自己做。问了家里的大厨老爸大概的龙虾做法后就尝试着做了一次，最后的成品我觉得还是很不错的。自己做虾的话，口味可以自己调整。更重要的是，一是干净，二是便宜！大清早去水产市场跳虾。可以让店家给处理，去头去虾线都是完全Ok的。每一只小龙虾都是仔细的拿牙刷清洗。不得不说洗完这一斤半的小龙虾我已经腰酸背痛。做小龙虾从不需要什么料包，一切都是自己准备。其实还是十分的简单。最后的小龙虾成平真的太棒了。里面搭配的魔芋，莴笋头和洋葱都是超级好吃的配菜。闷热的夏夜，一盆小龙虾，一瓶啤酒或冰镇可乐，三五好友或独自一人。聊着天或看着综艺，夜晚也变的可爱了起来。
【美食比拼】武汉、成都和长沙都有小龙虾，那到底哪家强？你推荐吃哪家？	我长居湖南长沙周边所以可以说我吃长沙小龙虾吃得最多了?今年五一我去武汉玩的时候非常荣幸的由当地朋友领去吃了靓靓蒸虾～我们长沙小龙虾更多的是喜辣口味重一点?但是也有很多选择，这是我某次吃的口味虾味道：????????我被辣哭了少颗星价格：??????????一份也就百来块肉质大小：????????我不是旺季去吃的但是小龙虾的肉质还是很好大小也都有份量放了紫苏叶?里面还有魔芋啊啊简直是我的爱～?除了我这个假湖南人不够吃辣被辣哭除外。武汉的小龙虾我点的是油焖大虾emmm…给我的感觉就是没有这么重口偏淡不过色泽美丽香气扑鼻也是非常诱人！味道??????里面加了啤酒焖了一下?可能是为了更好吃但是啤酒味有点重了??然后就是油很重的味道没什么咸味也没什么辣味让我吃着有点难受价格??????????一份蛮大的也就百来块反正都不贵肉质大小?????????也都算好?没啥区别?只不过我觉得这个更难剥。成都的我没吃过就不评价了～
【美食比拼】武汉、成都和长沙都有小龙虾，那到底哪家强？你推荐吃哪家？	我是成都人，说实话但从口味我吃不出来谁好谁坏，无非就是谁放的香料多罢了。吃小龙虾最担心的还是品质问题，就怕给你十只虾里混两只死虾，成都小龙虾菜馆数量一点也不亚于其他地方，一到季节这些馆子就如雨后春笋般冒出来了。其实他们只是换了个门头，有的馆子冬天卖羊肉，现在卖龙虾招牌还都不一样。作为一个农村我是真不明白小龙虾是怎么炒起来的，说实话小龙虾配不上这个价格。餐馆80一斤实在太贵了，简直可以用暴力来形容。小龙虾好吃，关键是价格对等的情况下，如果喜欢吃的话还是去买新鲜虾自己做吧，实惠，最重要的是干净，放心！
【美食比拼】武汉、成都和长沙都有小龙虾，那到底哪家强？你推荐吃哪家？	长沙的小龙虾倒是没吃过，只吃过牛蛙，不过因为我吃辣能力有限，估计也吃不惯。武汉去吃过靓靓蒸虾，就点清蒸的，超级好吃，这个看个人口味吧，我闺蜜就说长沙的好吃。我还吃过苏州的小龙虾，当时全国小龙虾还没有那么流行，苏州已经很多了，但当时也觉得一般般。还有北京簋街吃过小龙虾，偏油偏辣，还贵，一般般。平时网购各种口味小龙虾也都试过，也吃过不错的，但好像对于这些添加剂调味料并没有很爱。对我来说原汁原味最好了。好吧说到底我只爱靓靓蒸虾。
你在长沙最喜欢去哪里玩？那里有什么吸引你呢？	去过几次长沙之后来回答这个问题首先喜欢去的地方是橘子洲头和岳麓山这2个地方橘子洲去过好几次的的地方了，首次去肯定是因为这首沁园春诗词的吸引了?独立寒秋，湘江北去，橘子洲头。看万山红遍，层林尽染；漫江碧透，百舸争流。大气磅礴的气势很想去感受下，初冬的天气去的，橘子洲很冷，游客相对少了很多，就单纯静静的走一圈，带着也感觉内心很安静一样接下来几次都是各种节日去的，自然人多的几乎你会忘记欣赏美景，但是走在橘子洲还是会感觉一切都很放松，很惬意，问着一路上淡淡的橘子香味，满眼翠绿，2边是湘江缓缓的水流，会莫名的觉得内心很静谧路线现在去橘子洲很方便了地铁直达，除了地铁口就是了，可以选择步行和做小火车2种，小火车20元/人往返，中途的小站可以随意上下车，不过每个站只能上下一次，小火车一趟大概10分钟吧如果时间精力允许建议过去买票做小火车，回来步行，沿途可以欣赏下桔园的和湘江的景色岳麓山/岳麓书院院以山名，山因院盛?。去岳麓山大抵上也是因为岳麓书院的名气吸引而且，中国4大书院之一的岳麓书院，北宋时期建立，距今1000多年，好多名人出自这里，可以去感受下先贤对培育人才的无限热忱。岳麓书院出来就是岳麓山，完全可以步行上去45分钟可以到顶，下来可以选择大巴车，索道，和滑道3种路线，大巴门票20一个人吧，滑道好像是35/人，不过最好不要节假日去，人超级多，上次去排队要2个小时就放弃了。时间多的可以去体验下，还是很好玩的听说
你在长沙最喜欢去哪里玩？那里有什么吸引你呢？	橘子洲头印象最深?距上一次长沙到现在已经五年了橘子洲头是我到现在都忘不了的，全程走下来，和好友一起，一路边走边看，了解历史同时也增进友谊，确实是一个散心的好去处，正因为这样慢慢悠悠地走，到现在回味起来特别美好。
你在长沙最喜欢去哪里玩？那里有什么吸引你呢？	岳麓山、橘子洲、三馆一厅、太平街。我个人去岳麓山去得比较多，很放松。感觉还不错。另外，海信广场文和友装修蛮有特色，里面有八九十年代的理发店歌舞厅游戏厅等可以体验。太平街也可以逛逛，有一些小店还不错。
你在长沙最喜欢去哪里玩？那里有什么吸引你呢？	岳麓山，有很多神话传说，飞来石，白鹤泉，莽蛇洞，岳麓山寺，岳麓书院，！自卑亭，爱晚亭，桔子洲头，沁园春雪，古白沙井！有美丽的传说，天心阁，关公战长沙，湘江风光带，迷人风光！坡子街赚足了美食！
长沙有哪些当地人口碑爆棚的老字号餐厅？	我喜欢长沙的小吃多一点，糖油粑粑，糖山楂，炒栗子，炒粉，麻辣烫，凉粉，梅菜扣肉饼，红豆糕，酱饼，卤味……正餐的话基本上都是盖浇饭，或者是饭店的剁椒鱼头啊，或者吃火锅之类的～口碑爆棚的老字号估计就连锁那些吧，但也不是说就很好吃的……像火宫殿也是有赞有弹……人多可以去大碗厨(大碗，招牌菜:猪脚)，季季红火锅(学生聚会优选)，自助烤肉(约会？不懂)，胖哥俩肉蟹煲还可以，蛙来哒，之类的～反正解放西,五一广场，王府井，一带是吃喝玩乐聚集地，小吃正餐都有～地铁可直达，从长沙火车站到橘子洲大桥那条直路全是吃喝玩乐～除此以外，大学城附近的麓山南路啊之类的都好多吃的，师大图书馆后面的小巷子啊，天马学生公寓附近的路啊，上岳麓山的路啊，阜埠河路口啊～反正很多好吃的～尤其晚上宵夜～我最爱的是梅菜扣肉饼，在麓山南路有一家"网红"必须要去哒～反正那里一条街都是吃的，我是逛一天都逛不完～从师大吃到中南～现在的大学饭堂都可以现金付款，可以体验一下，很地道价格也公道～除此以外还有梅溪湖是新的游览点(毕竟那里经常拍戏嘛～)，也可以去开福区那边的大学附近吃烤鱼(夜宵摊哦，但很好吃)，还有世界之窗(纯粹游乐罗)
